Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Submission ID,Funding Acount ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,7,Multilateral,Multilateral - United Nations,12,3990216,Multilateral - United Nations Organization Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,163525,"Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.",HA.1,,,2,Obligations,2022,25000000,24138264
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,26,LAC,Bureau for Latin America and Caribbean,3,NGO,NGO - United States,5,3990201,NGO - United States Redacted,2,Health and Population,122,Basic Health,12264,COVID-19 control,,,14,Pandemic Influenza and Other Emerging Threats (PIOET),76,72x1037,Economic Support Fund,1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,167878,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,7200AA19CA00003,,2024-04-14,2,Obligations,2022,3500000,3379356
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,3,NGO,NGO - Non United States,7,4000556,Plan International,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,163532,"Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.",HA.1,,,2,Obligations,2022,1027630,992208
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,26,LAC,Bureau for Latin America and Caribbean,3,NGO,NGO - United States,5,4000100,Counterpart International,3,Governance,151,Government and Civil Society,15150,Democratic participation and civil society,,,8,Good Governance,76,72x1021,"Agency for International Development, Development Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,170857,Good Governance,"Support avenues for meaningful public participation and oversight, as well as for substantive separation of powers through institutional checks and balances. Transparency and integrity are also vital to government effectiveness and political stability.",DR.2,,,2,Obligations,2022,710000,685527
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,16,PC,Peace Corps,108,IAP,Inter America & the Pacific,1,Government,Government - United States,1,1000012,U.S. Government - Peace Corps,1,Education,111,"Education, Level Unspecified",11110,Education policy and administrative management,,,22,"Policies, Regulations, and Systems",44,11x0100,Peace Corps,16,Peace Corps,PC,1,Economic,4,Technical Assistance,58143,U.S. Peace Corps Overseas Program Support,"Overseas program support costs in Ecuador. Includes overseas staff salaries and benefit costs, leases, staff travel, communications, conferences, supplies, equipment and International Cooperative Administrative Support Services (ICASS).  Excludes costs for training, medical and security.",,,,2,Obligations,2022,702846,678619
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,26,LAC,Bureau for Latin America and Caribbean,1,Government,Government - United States,1,1000002,U.S. Government - Department of Agriculture,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,,,41,Direct Administrative Costs,76,72x1000,"Agency for International Development, Operating Expenses",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,156012,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,,,2,Obligations,2022,527995,509795
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,8,Enterprises,Enterprises - Non United States,20,3990207,Enterprise - Non United States Redacted,9,Humanitarian,740,Disaster Prevention and Preparedness,74020,Multi-hazard response preparedness,,,38,Disaster Readiness,76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,160902,Disaster Readiness,"The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.",HA.2,,,2,Obligations,2022,500000,482765
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,4,Church and Faith Based,Church and Faith Based - United States,8,4000004,Adventist Development and Relief Agency International,9,Humanitarian,740,Disaster Prevention and Preparedness,74020,Multi-hazard response preparedness,,,38,Disaster Readiness,76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,164693,Disaster Readiness,"The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.",HA.2,,,2,Obligations,2022,488344,471511
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,26,LAC,Bureau for Latin America and Caribbean,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,,,41,Direct Administrative Costs,76,72x1021,"Agency for International Development, Development Assistance",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,156010,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,,,2,Obligations,2022,377523,364510
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,26,LAC,Bureau for Latin America and Caribbean,8,Enterprises,Enterprises - Non United States,20,3990007,Enterprise - Non United States Other,3,Governance,151,Government and Civil Society,15150,Democratic participation and civil society,,,8,Good Governance,76,72x1021,"Agency for International Development, Development Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165043,Good Governance,"Support avenues for meaningful public participation and oversight, as well as for substantive separation of powers through institutional checks and balances. Transparency and integrity are also vital to government effectiveness and political stability.",DR.2,,,2,Obligations,2022,300000,289659
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,16,PC,Peace Corps,108,IAP,Inter America & the Pacific,1,Government,Government - United States,1,1000012,U.S. Government - Peace Corps,1,Education,111,"Education, Level Unspecified",11110,Education policy and administrative management,,,22,"Policies, Regulations, and Systems",44,11x0100,Peace Corps,16,Peace Corps,PC,1,Economic,4,Technical Assistance,58648,U.S. Peace Corps Volunteer Pre-Service Training,"All costs incurred for pre-Service training of volunteers in Ecuador including pre-service training in the U.S., pre-departure staging costs, and pre-service training overseas.",,,,2,Obligations,2022,294555,284402
218,ECU,Ecuador,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,4,TREAS,Department of the Treasury,39,TIA,Office of Technical Assistance,8,Enterprises,Enterprises - United States,19,4013075,Metrica Inc.,3,Governance,151,Government and Civil Society,15111,Public finance management,,,25,Macroeconomic Foundation for Growth,75,20x1045,International Affairs Technical Assistance,4,Department of the Treasury,TREAS,1,Economic,4,Technical Assistance,104145,Technical Assistance for Technical Assistance for Government Debt & Infrastructure Finance - Ecuador IFT,Technical Assistance for Technical Assistance for Government Debt & Infrastructure Finance - Ecuador IFT,OTA4000000082,,,2,Obligations,2022,289182,279214
