Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Submission ID,Funding Acount ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,4000669,"Chemonics International, Inc.",5,Economic Growth,250,Business and Other Services,25010,Business Policy and Administation,,,30,Private Sector Competitiveness,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,170841,Future Technologies Activity,"Will enhance the competitiveness of the Moldovan transformative sectors, including light manufacturing, information and communication technology (ICT), precision engineering, creative industries, and media",72011721C00001,,2026-06-22,2,Obligations,2022,5012520,4839742
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,4002116,"Tetra Tech, Inc.",4,Infrastructure,230,Energy,23630,Electric power transmission and distribution (centralised grids),,,28,Infrastructure,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,172385,Moldova Energy Security,The project aims to strengthen Moldova's energy security by: 1 advancing the physical and market integration of the moldovan energy sector with europe; 2 increasing renewable energy integration; and 3 increasing investment in energy efficiency.,72011722F00002,,2027-06-23,2,Obligations,2022,4865284,4697580
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,4001885,Nathan Associates Inc.,5,Economic Growth,250,Business and Other Services,25010,Business Policy and Administation,,,30,Private Sector Competitiveness,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,172120,Business Enabling Environment,"Improve policies, laws, regulations, and administrative practices affecting the private sector. Includes reducing barriers to competition and unwarranted distortions to market prices; reducing policy and regulatory barriers to establishing, operating, and closing businesses, including micro, small and medium enterprises (MSMEs); strengthening the legal framework surrounding property rights that is fair to men and women, the poor, and other disadvantaged groups so that they can protect and accumulate assets; contract enforcement and dispute resolution, along with the administration of those laws; reducing incentives for corruption and promoting transparent business practices; strengthening the legal framework surrounding intellectual property rights; and improving laws and regulations affecting the creation, dissemination, and use of technology. It also includes improving policies and regulations affecting technology choices and production behaviors with environmental impacts; and improving policies, laws, and regulations affecting hiring and firing of workers, wages, working conditions, and labor-management relations. Includes support for specific improvements and for related data collection and studies as well as efforts to strengthen the institutions that contribute to designing and implementing further improvements. Activities the primary focus of which is combating corruption should be recorded under DR.2.4 AntiCorruption Reforms.",EG.5.1,,,2,Obligations,2022,4800000,4634547
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,4,Church and Faith Based,Church and Faith Based - United States,8,4000055,Catholic Relief Services,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,172189,Emergency food and nutrition assistance,Food assistance for conflict-displaced populations.,720BHA22GR00095,,2022-09-30,2,Obligations,2022,4742617,4579142
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,153,CPS,Bureau for Conflict Prevention and Stabilization,8,Enterprises,Enterprises - United States,19,3990008,Enterprise - United States Other,3,Governance,152,"Conflict, Peace, and Security",15220,"Civilian peace-building, conflict prevention and resolution",,,6,Conflict Mitigation and Reconciliation,76,72x1027,"Agency for International Development, International Assistance Program, Transition Initiatives",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,168653,"Conflict Early Warning, Mitigation and Peace Building","Reduce the threat or impact of violent conflict and promote peaceful resolution of differences, ensure conflict sensitivity so as not to exacerbate sources of violence and/or establish an inclusive framework for peace and reconciliation which addresses all key drivers and mitigators of conflict. This includes activities aimed specifically at atrocities prevention, as well as activities intended to transform relationships to decrease the likelihood of future violent conflict. Develop and support early warning and response mechanisms such as early warning models and response protocols; conflict analysis; monitoring mechanisms and peace structures at different levels; peace building communication systems; confidence-building measures; crisis-response planning and management skills at the local and national levels; and means for rapid and effective response in the event of crisis. Support quick-impact, outcome-based activities required to demonstrate the positive impact of a peace process, operation or other event, such as mobilizing small grants for communities and local/national governments; ensuring delivery of services (e.g. ""ministry in a box""); bringing local and national government authorities closer to their constituencies (e.g., town hall meetings, consultations, production and dissemination of information); generating employment for potential spoilers; and managing expectations.",PS.6.1,,,2,Obligations,2022,3500000,3379357
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,3,NGO,NGO - United States,5,4001280,Consortium for Elections and Political Process Strengthening,3,Governance,151,Government and Civil Society,15150,Democratic participation and civil society,,,10,Civil Society,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,161286,Moldova Inclusive and Participatory Political Processes (MIPPP),"The goal of the program is to help Moldova strengthen and consolidate its democratic transition by assisting in the establishment of more participatory, inclusive, transparent and accountable government processes.",AID-117-LA-16-00001,2016-08-15,2026-07-31,2,Obligations,2022,2765698,2670366
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,4009145,"International Development Group, LLC",5,Economic Growth,240,Banking and Financial Services,24010,Financial policy and administrative management,,,27,Financial Sector,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,167550,Moldova Financial Sector Transparency Activity,"The Moldova Financial Sector Transparency Activity (FSTA) will support Moldovas economic growth through improving the financial sector transparency, stability and soundness, by further strengthening the capacity of the National Bank of Moldova (NBM), the Moldova Central Securities Depository (CSD) and of the Moldova National Commission for Financial Markets (NCFM) to combat financial crimes, automate the monitoring of shareholder transparency and fight systemic money laundering in the banking sector and by enhancing the efficiency and reliability of the securities settlement and registry infrastructure in Moldova. Greater transparency and reform in the banking and financial sector will result in increased public trust in supervision institutions and greater capacity to expose money laundering and fight corruption.",72011719F00001,,2025-08-07,2,Obligations,2022,2108738,2036051
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,3,NGO,NGO - United States,5,4000615,International Research and Exchanges Board,3,Governance,151,Government and Civil Society,15112,Decentralisation and support to subnational government,,,8,Good Governance,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,164558,Comunitatea Mea Activity,"Comunitatea Mea (My Community) is a five-year, USAID-funded program, administered by IREX, that aims to strengthen local government in Moldova to become more more robust,cohesive, accountable, and transparent. Comunitatea Mea strengthens the  capacities of Local Public Authorities to: Improve quality and access to municipal services; Increase locally owned revenues and improve financial management; Meaningfully engage citizens in local governance; Advocate for decentralization reform that will.strengthen local governments and communities.",72011718CA00002,,2023-03-04,2,Obligations,2022,2040000,1969682
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,4002153,"Checchi and Company Consulting, Inc.",3,Governance,151,Government and Civil Society,15130,Legal and judicial development,,,7,Rule of Law and Human Rights,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,172384,Model Court Initiative (MCI),"Supports the provision of technical assistance to enable justice sector reforms, more specifically, establishing an operational secretariat in support of the evaluation committee to review the integrity of candidates.",72011722F00003,,2028-01-10,2,Obligations,2022,1335444,1289412
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,1,Government,Government - United States,1,1000002,U.S. Government - Department of Agriculture,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,,,41,Direct Administrative Costs,76,72x1000,"Agency for International Development, Operating Expenses",1,U.S. Agency for International Development,USAID,1,Economic,6,Administrative Costs,156012,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,,,2,Obligations,2022,1226996,1184704
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,2,Universities and Research Institutes,Universities and Research Institutes - United States,3,4001879,"University of North Carolina, Chapel Hill",3,Governance,151,Government and Civil Society,15160,Human rights,,,7,Rule of Law and Human Rights,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,164665,Data for Impact (D4I),"The USAID-funded Data for Impact (D4I) project is a mechanism for monitoring, evaluation, data analysis and use, and other research needs. D4I is an associate award of the MEASURE Evaluation Phase IV project and is a cross-bureau global health mechanism that supports Missions across health sectors. D4I builds on and reinforces current U.S. government efforts to support countries to generate and use high quality data as evidence to improve programs, policies, and outcomes (https://www.data4impactproject.org). D4I will continue the work of MEASURE Evaluation Phase IV around evaluation, data quality and data use (the specific services are listed below) through the adaptation and use of tools and methodologies developed by MEASURE Evaluation Phase IV and through development of new ones as needed.",7200AA18LA00008,,2023-09-21,2,Obligations,2022,1006769,972066
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,3990208,Enterprise - United States Redacted,3,Governance,151,Government and Civil Society,15151,Elections,,,9,Political Competition and Consensus-Building,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,160892,Democratic Transparency and Accountability Program (DTAP),Democratic Transparency and Accountability Program (DTAP),AID-117-A-16-00002,2016-07-26,2025-03-31,2,Obligations,2022,831000,802356
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,4000669,"Chemonics International, Inc.",5,Economic Growth,250,Business and Other Services,25010,Business Policy and Administation,,,30,Private Sector Competitiveness,76,72x8824,"Agency for International Development, Gifts and Donations",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,170841,Future Technologies Activity,"Will enhance the competitiveness of the Moldovan transformative sectors, including light manufacturing, information and communication technology (ICT), precision engineering, creative industries, and media",72011721C00001,,2026-06-22,2,Obligations,2022,824369,795953
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,8,Enterprises,Enterprises - United States,19,4000669,"Chemonics International, Inc.",6,Agriculture,310,Agriculture,31110,Agricultural policy and administrative management,,,29,Agriculture,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,161106,High Value Agriculture Activity (HVA),High Value Agriculture Activity (HVA),AID-117-C-17-00001,2016-11-21,2022-11-20,2,Obligations,2022,820000,791735
498,MDA,Moldova,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,23,EE,Bureau for Europe and Eurasia,6,Networks,Networks,11,4014117,Association for Information Technology and Communications in Romania,5,Economic Growth,250,Business and Other Services,25010,Business Policy and Administation,,,30,Private Sector Competitiveness,76,72x0306,"Assistance for Europe, Eurasia and Central Asia (AEECA)",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,159393,IT Center of Excellence,IT Center of Excellence,AID-117-A-15-00002,2015-08-24,2022-09-22,2,Obligations,2022,508666,491132
