Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Submission ID,Funding Acount ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",7,Multilateral,Multilateral - United Nations,12,4000501,World Food Program,9,Humanitarian,720,Emergency Response,72040,Emergency food assistance,,,37,"Protection, Assistance and Solutions",78,12x2278,Public Law 480 Title II Grants,5,Department of Agriculture,AGR,1,Economic,3,Project-Type,195105,Title II Emergency Program,Title II Emergency Program through a partner of the US Agency for International Development.,720BHA22IO00011,,,2,Obligations,2022,387995766,374621769
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,21,DCHA,"Bureau for Democracy, Conflict and Humanitarian Assistance",7,Multilateral,Multilateral - United Nations,12,4000501,World Food Program,9,Humanitarian,720,Emergency Response,72040,Emergency food assistance,,,37,"Protection, Assistance and Solutions",78,12x2278,Public Law 480 Title II Grants,5,Department of Agriculture,AGR,1,Economic,3,Project-Type,195143,Title II Emergency Program,Title II Emergency Program through a partner of the US Agency for International Development.,720BHA22IO00186,,,2,Obligations,2022,213326442,205973199
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,7,Multilateral,Multilateral - United Nations,12,3990216,Multilateral - United Nations Organization Redacted,8,Commodity Assistance,520,Developmental Food Aid/Food Security Assistance,52010,Food Assistance,,,37,"Protection, Assistance and Solutions",76,12x2278,Public Law 480 Title II Grants,5,Department of Agriculture,AGR,1,Economic,3,Project-Type,170698,Emergency Food Assistance,"In-kind food commodities (wheat, vegetable oil, and peas) to food insecure beneficiaries.",720BHA22IO00011,,2024-08-31,2,Obligations,2022,139540767,134730874
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,7,Multilateral,Multilateral - United Nations,12,3990216,Multilateral - United Nations Organization Redacted,8,Commodity Assistance,520,Developmental Food Aid/Food Security Assistance,52010,Food Assistance,,,37,"Protection, Assistance and Solutions",76,12x4336,Commodity Credit Corporation Fund,5,Department of Agriculture,AGR,1,Economic,3,Project-Type,163525,"Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.",HA.1,,,2,Obligations,2022,69539602,67142611
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,7,Multilateral,Multilateral - United Nations,12,3990216,Multilateral - United Nations Organization Redacted,8,Commodity Assistance,520,Developmental Food Aid/Food Security Assistance,52010,Food Assistance,,,37,"Protection, Assistance and Solutions",76,12x2278,Public Law 480 Title II Grants,5,Department of Agriculture,AGR,1,Economic,3,Project-Type,172194,Emergency food assistance,Emergency humanitarian food and nutirition assistance,720BHA22GR00072,,2024-09-30,2,Obligations,2022,69372475,66981245
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,7,Multilateral,Multilateral - United Nations,12,4000501,World Food Program,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,172208,Emergency food assistance,Emergency humanitarian food and nutirition assistance,720BHA22IO00085,,2023-02-17,2,Obligations,2022,58000000,56000772
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,3,NGO,NGO - International,6,3990211,NGO - International Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,170693,Emergency Food Assistance,Emergency food assistance to vulnerable populations.,720BHA22GR00003,,2023-01-31,2,Obligations,2022,27905446,26943561
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,4,Church and Faith Based,Church and Faith Based - United States,8,3990212,Church and Faith Based - United States Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,163464,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,HA.1,,,2,Obligations,2022,24000000,23172733
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,3,NGO,NGO - United States,5,3990201,NGO - United States Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,172338,Integrated humanitarian assistance,"Integrated food assistance, protection, health, and WASH emergency activities for IDPS and host communities in 10 conflict affected governorates.",720BHA22GR00054,,2023-03-31,2,Obligations,2022,21224762,20493156
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,3,NGO,NGO - Non United States,7,3990206,NGO - Non United States Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,165908,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,HA.1,,,2,Obligations,2022,19000000,18345081
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,3,NGO,NGO - International,6,3990211,NGO - International Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,163496,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,HA.1,,,2,Obligations,2022,12000000,11586367
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,7,Multilateral,Multilateral - United Nations,12,3990216,Multilateral - United Nations Organization Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,172340,Integrated humanitarian assistance,Integrated lifesaving nutrition and WASH interventions for children and their families.,720BHA22IO00049,,2023-02-10,2,Obligations,2022,10077910,9730530
887,YEM,Yemen,3,Middle East and North Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,152,BHA,Bureau for Humanitarian Assistance,3,NGO,NGO - Non United States,7,3990206,NGO - Non United States Redacted,9,Humanitarian,720,Emergency Response,72050,Relief co-ordination; protection and support services,,,37,"Protection, Assistance and Solutions",76,72x1035,"Agency for International Development, International Disaster Assistance",1,U.S. Agency for International Development,USAID,1,Economic,3,Project-Type,163466,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,HA.1,,,2,Obligations,2022,9996000,9651443
