country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Angola,,,,,,,,,,,,,,,,,,,,,,,7.56,,,,,,,,,8.21,,,,
Albania,,,,,,,,,,,,,,,,,,,0.00634,,,,,,0.0223,,0.016,0.0132,,,0.00583,,,,0.0129,
Argentina,,,,,,,,,0,0,,,,0.321,0.593,0.696,0.664,1.35,1.51,1.35,1.44,1.53,1.87,3.08,4.73,3.42,2.41,1.79,1.47,1.18,1.09,1.07,0.699,0.574,,
Armenia,,,,,,,,,,,,,,,,,,,0.555,,,0.518,,0.576,0.442,0.324,0.23,0.127,0.0952,0.101,0.042,0.0463,0.0741,0.0726,0.052,
Australia,,,,0.1,,,,0.106,,,,0.114,,,,,,0.242,,,,,,0.262,,0.271,,,,,,,,,,
Austria,,,,,,,,,,0,,,,,,,0.0317,0.0795,,0.0271,,,0.0321,,,,0.0278,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,1.94,,,,,,0.509,0.00163,0.00329,0,0,,,0.0272,,,,,
Burundi,,,,,,,,,,,,,,,4.96,,,,,,5.57,,,,,,,,6.54,,,,,,,
Belgium,,,,,,,,0.0355,,,0.0663,,,,0.0834,,,0.0355,,0.0356,,,0.0513,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,,,,,,,,,5.19,
Burkina Faso,,,,,,,,,,,,,,,,,6.99,,,,7.68,,,,,6.19,,,,,,6.71,,,,
Bangladesh,,,,,,,63.9,,62.3,,,75,,,79,,,,74.5,,,,77.6,,,,,72.2,,,,,65.4,,,
Bulgaria,,,,,,,,,,,,0.00355,,,0,,0.0186,0.0689,,0.0266,,,,0.17,,0.0485,,,,0.0196,0.0547,,0.121,0.14,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,0.0109,,,0.00389,,,0.00155,,,,,,
Belarus,,,,,,,,,,,0.00811,,,,,0.00205,,0.0367,,,0.0846,0.0381,0.026,0.0119,0.0464,0.049,0.00584,0.0058,0.0048,0,0,0.00095,0,0,,
Belize,,,,,,,,,,,,,,,,0.018,0.0181,0.029,0.0205,0.0272,0.0255,0.0283,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,0.364,,0.621,,,,1.35,,1.94,2.28,1.85,1.94,,1.07,1.71,1.51,1.18,1.03,1.07,,0.72,0.838,
Brazil,,,,17,17.4,21.7,20.7,18.4,13.5,19.3,21.2,20.2,24.3,,25.8,24.9,,16.1,18.4,18.2,16.2,17,,18.1,15.9,17.5,15,13.4,11.2,11.1,9.34,9.13,,8.92,7.45,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,,,,0.0694,,,,,0.0177,
Botswana,,,,,,,,,0.436,,,,,,,,0.482,,,,,,,,,0.446,,,,,,0.262,,,,
Central African Republic,,,,,,,,,,,,,,,2.54,,,,,,,,,,,2.39,,,,,2.63,,,,,
Canada,,,,0.169,,,,,,0.0982,,,,0.093,,,0.0961,,,0.108,0.206,,0.105,,,,0.109,,,0.112,,,0.116,,,
Switzerland,,,,,0.0441,,,,,,,,,,0.23,,,,,,,,0.0244,,0.0248,,0.0495,,,,,,,,,
Chile,,,,,,,,,,0.727,,,0.649,,0.376,,0.433,,0.323,,0.35,,0.334,,,0.277,,,0.177,,,0.217,,0.144,,
China,,,,838,,,720,,,585,,,689,,,646,,,455,,,451,,,359,,,206,,,164,,123,84.1,,
Cote d'Ivoire,,,,,,,,0.821,0.433,0.949,1.56,,,,,3.54,,3,,,4.64,,,,4.95,,,,,,6.4,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,6.79,,,,,4.07,,,,,,5.27,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,1.39,,
Colombia,,,4.16,,,,,,,,3.42,2.64,,2.78,2.18,,,,4.84,,,6.35,7.12,7.24,4.59,4.33,3.83,3.4,4.84,3.93,3.84,3.33,2.87,2.33,2.69,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,0.0965,,,,,,0.0665,,,,,
