country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08B,1.25B,1.49B,1.67B,1.73B,1.87B,1.98B,2.13B,2.3B,2.36B,2.39B,2.56B,2.61B,2.64B,2.84B,2.75B,2.66B,2.72B,2.93B,2.97B,3B,3.05B,3.05B,2.73B,2.63B,2.72B,2.68B,2.79B,2.8B,2.96B,3.03B,3.09B,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23B,7.87B,7.98B,8.87B,9.35B,10.6B,11.1B,13.4B,15.4B,15.4B,17.4B,18.4B,18.9B,19.1B,19.6B,20.1B,20.3B,21.1B,20.6B
Angola,,,,,,,,,,,,,,,,,,,,,29.6B,28.3B,28.3B,29.5B,31.3B,32.4B,33.3B,34.7B,36.8B,36.8B,35.5B,35.9B,33.8B,25.7B,26B,29.9B,34B,36.5B,38.2B,39B,40.2B,41.9B,47.6B,49B,54.4B,62.6B,69.8B,79.6B,88.5B,89.2B,93.2B,96.4B,105B,110B,115B,116B,113B,113B,111B,110B,104B
Albania,,,,,,,,,,,,,,,,,,,,,4.65B,4.92B,5.06B,5.12B,5.05B,5.14B,5.43B,5.39B,5.32B,5.84B,5.28B,3.8B,3.53B,3.86B,4.19B,4.74B,5.18B,4.61B,5.02B,5.66B,6.06B,6.56B,6.86B,7.24B,7.64B,8.06B,8.53B,9.04B,9.72B,10B,10.4B,10.7B,10.8B,10.9B,11.1B,11.4B,11.8B,12.2B,12.7B,13B,12.5B
Andorra,,,,,,,,,,,859M,899M,972M,1.05B,1.11B,1.11B,1.15B,1.18B,1.2B,1.2B,1.23B,1.23B,1.24B,1.26B,1.28B,1.31B,1.36B,1.43B,1.51B,1.58B,1.64B,1.68B,1.7B,1.68B,1.72B,1.77B,1.85B,2.01B,2.08B,2.16B,2.24B,2.42B,2.53B,2.75B,2.98B,3.14B,3.29B,3.34B,3.15B,2.99B,2.93B,2.93B,2.78B,2.68B,2.75B,2.79B,2.89B,2.9B,2.95B,3.01B,2.65B
United Arab Emirates,,,,,,,,,,,,,,,,54.5B,63.5B,77.2B,75.9B,91.8B,114B,119B,111B,106B,110B,106B,90.2B,93.3B,90.8B,102B,121B,122B,126B,127B,136B,145B,154B,166B,167B,172B,190B,193B,198B,215B,236B,247B,271B,280B,289B,274B,278B,297B,311B,326B,341B,358B,369B,378B,382B,395B,371B
Argentina,151B,159B,158B,149B,164B,182B,181B,186B,195B,214B,221B,233B,237B,244B,257B,257B,252B,269B,257B,284B,288B,273B,271B,283B,287B,272B,289B,297B,294B,273B,266B,290B,313B,339B,359B,348B,368B,397B,413B,399B,396B,378B,337B,367B,400B,435B,470B,513B,533B,502B,553B,586B,580B,594B,579B,595B,582B,599B,583B,571B,515B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84B,5.16B,3B,2.74B,2.88B,3.08B,3.26B,3.37B,3.62B,3.74B,3.96B,4.34B,4.91B,5.6B,6.19B,7.05B,7.98B,9.07B,9.7B,8.33B,8.51B,8.91B,9.56B,9.87B,10.2B,10.6B,10.6B,11.4B,12B,12.9B,11.9B
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745M,752M,755M,752M,721M,735M,715M,685M,687M,687M,658M,641M,652M,673M,662M,615M,632M,629M,653M
Antigua and Barbuda,,,,,,,,,,,,,,,,,,346M,361M,391M,423M,439M,438M,462M,509M,548M,611M,651M,685M,721M,743M,759M,768M,808M,862M,825M,879M,927M,971M,1.01B,1.07B,1.02B,1.03B,1.09B,1.16B,1.23B,1.39B,1.52B,1.52B,1.34B,1.23B,1.21B,1.25B,1.24B,1.29B,1.34B,1.41B,1.45B,1.55B,1.63B,1.3B
