setting,year,indicator_abbr,indicator_name,Avg estimate,Funding Agency Acronym,Constant Dollar Amount (Previous Year)
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,717869
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,2774839
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,460373
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,4125431
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,43133472
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,0
Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,21095003
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,14587462
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DFC,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOC,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOE,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOL,4038229
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,DOT,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,EPA,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,FTC,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,HHS,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,IAF,1055291
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,LIC,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,MCC,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,NSF,0
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,PC,4031498
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,STATE,23708758
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TDA,11778
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,TREAS,134608
Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,USAID,41471810
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,ADF,0
Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4,AGR,4133438
