,setting,year,indicator_abbr,indicator_name,Avg estimate,Funding Agency Acronym,Constant Dollar Amount,country_year,country_year_indicator,country_year_indicator_agency
0,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,9241684,Ecuador_2002,Ecuador_2002_alcohol,Ecuador_2002_alcohol_AGR
1,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,1948562,Ecuador_2002,Ecuador_2002_alcohol,Ecuador_2002_alcohol_IAF
2,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,3948070,Ecuador_2002,Ecuador_2002_alcohol,Ecuador_2002_alcohol_PC
3,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,35779088,Ecuador_2002,Ecuador_2002_alcohol,Ecuador_2002_alcohol_STATE
4,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,1638316,Ecuador_2002,Ecuador_2002_alcohol,Ecuador_2002_alcohol_TDA
5,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,37389886,Ecuador_2002,Ecuador_2002_alcohol,Ecuador_2002_alcohol_USAID
6,Ecuador,2002,hh,Population using safely managed drinking water services (%),56.5,AGR,9241684,Ecuador_2002,Ecuador_2002_hh,Ecuador_2002_hh_AGR
7,Ecuador,2002,hh,Population using safely managed drinking water services (%),56.5,IAF,1948562,Ecuador_2002,Ecuador_2002_hh,Ecuador_2002_hh_IAF
8,Ecuador,2002,hh,Population using safely managed drinking water services (%),56.5,PC,3948070,Ecuador_2002,Ecuador_2002_hh,Ecuador_2002_hh_PC
9,Ecuador,2002,hh,Population using safely managed drinking water services (%),56.5,STATE,35779088,Ecuador_2002,Ecuador_2002_hh,Ecuador_2002_hh_STATE
10,Ecuador,2002,hh,Population using safely managed drinking water services (%),56.5,TDA,1638316,Ecuador_2002,Ecuador_2002_hh,Ecuador_2002_hh_TDA
11,Ecuador,2002,hh,Population using safely managed drinking water services (%),56.5,USAID,37389886,Ecuador_2002,Ecuador_2002_hh,Ecuador_2002_hh_USAID
12,Ecuador,2002,life,Life Expectancy,73.9,AGR,9241684,Ecuador_2002,Ecuador_2002_life,Ecuador_2002_life_AGR
13,Ecuador,2002,life,Life Expectancy,73.9,IAF,1948562,Ecuador_2002,Ecuador_2002_life,Ecuador_2002_life_IAF
14,Ecuador,2002,life,Life Expectancy,73.9,PC,3948070,Ecuador_2002,Ecuador_2002_life,Ecuador_2002_life_PC
15,Ecuador,2002,life,Life Expectancy,73.9,STATE,35779088,Ecuador_2002,Ecuador_2002_life,Ecuador_2002_life_STATE
16,Ecuador,2002,life,Life Expectancy,73.9,TDA,1638316,Ecuador_2002,Ecuador_2002_life,Ecuador_2002_life_TDA
17,Ecuador,2002,life,Life Expectancy,73.9,USAID,37389886,Ecuador_2002,Ecuador_2002_life,Ecuador_2002_life_USAID
18,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,AGR,9241684,Ecuador_2002,Ecuador_2002_obesitya,Ecuador_2002_obesitya_AGR
19,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,IAF,1948562,Ecuador_2002,Ecuador_2002_obesitya,Ecuador_2002_obesitya_IAF
20,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,PC,3948070,Ecuador_2002,Ecuador_2002_obesitya,Ecuador_2002_obesitya_PC
21,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,STATE,35779088,Ecuador_2002,Ecuador_2002_obesitya,Ecuador_2002_obesitya_STATE
22,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,TDA,1638316,Ecuador_2002,Ecuador_2002_obesitya,Ecuador_2002_obesitya_TDA
23,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,USAID,37389886,Ecuador_2002,Ecuador_2002_obesitya,Ecuador_2002_obesitya_USAID
24,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,AGR,9241684,Ecuador_2002,Ecuador_2002_u5mr,Ecuador_2002_u5mr_AGR
25,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,IAF,1948562,Ecuador_2002,Ecuador_2002_u5mr,Ecuador_2002_u5mr_IAF
26,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,PC,3948070,Ecuador_2002,Ecuador_2002_u5mr,Ecuador_2002_u5mr_PC
27,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,STATE,35779088,Ecuador_2002,Ecuador_2002_u5mr,Ecuador_2002_u5mr_STATE
28,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,TDA,1638316,Ecuador_2002,Ecuador_2002_u5mr,Ecuador_2002_u5mr_TDA
29,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,USAID,37389886,Ecuador_2002,Ecuador_2002_u5mr,Ecuador_2002_u5mr_USAID
30,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,717869,Ecuador_2003,Ecuador_2003_alcohol,Ecuador_2003_alcohol_AGR
31,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,2774839,Ecuador_2003,Ecuador_2003_alcohol,Ecuador_2003_alcohol_DOL
32,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,460373,Ecuador_2003,Ecuador_2003_alcohol,Ecuador_2003_alcohol_IAF
33,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,4125431,Ecuador_2003,Ecuador_2003_alcohol,Ecuador_2003_alcohol_PC
34,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,43133472,Ecuador_2003,Ecuador_2003_alcohol,Ecuador_2003_alcohol_STATE
35,Ecuador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,21095003,Ecuador_2003,Ecuador_2003_alcohol,Ecuador_2003_alcohol_USAID
36,Ecuador,2003,hh,Population using safely managed drinking water services (%),56.5,AGR,717869,Ecuador_2003,Ecuador_2003_hh,Ecuador_2003_hh_AGR
37,Ecuador,2003,hh,Population using safely managed drinking water services (%),56.5,DOL,2774839,Ecuador_2003,Ecuador_2003_hh,Ecuador_2003_hh_DOL
38,Ecuador,2003,hh,Population using safely managed drinking water services (%),56.5,IAF,460373,Ecuador_2003,Ecuador_2003_hh,Ecuador_2003_hh_IAF
39,Ecuador,2003,hh,Population using safely managed drinking water services (%),56.5,PC,4125431,Ecuador_2003,Ecuador_2003_hh,Ecuador_2003_hh_PC
40,Ecuador,2003,hh,Population using safely managed drinking water services (%),56.5,STATE,43133472,Ecuador_2003,Ecuador_2003_hh,Ecuador_2003_hh_STATE
41,Ecuador,2003,hh,Population using safely managed drinking water services (%),56.5,USAID,21095003,Ecuador_2003,Ecuador_2003_hh,Ecuador_2003_hh_USAID
42,Ecuador,2003,life,Life Expectancy,73.9,AGR,717869,Ecuador_2003,Ecuador_2003_life,Ecuador_2003_life_AGR
43,Ecuador,2003,life,Life Expectancy,73.9,DOL,2774839,Ecuador_2003,Ecuador_2003_life,Ecuador_2003_life_DOL
44,Ecuador,2003,life,Life Expectancy,73.9,IAF,460373,Ecuador_2003,Ecuador_2003_life,Ecuador_2003_life_IAF
45,Ecuador,2003,life,Life Expectancy,73.9,PC,4125431,Ecuador_2003,Ecuador_2003_life,Ecuador_2003_life_PC
46,Ecuador,2003,life,Life Expectancy,73.9,STATE,43133472,Ecuador_2003,Ecuador_2003_life,Ecuador_2003_life_STATE
47,Ecuador,2003,life,Life Expectancy,73.9,USAID,21095003,Ecuador_2003,Ecuador_2003_life,Ecuador_2003_life_USAID
48,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,AGR,717869,Ecuador_2003,Ecuador_2003_obesitya,Ecuador_2003_obesitya_AGR
49,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,DOL,2774839,Ecuador_2003,Ecuador_2003_obesitya,Ecuador_2003_obesitya_DOL
50,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,IAF,460373,Ecuador_2003,Ecuador_2003_obesitya,Ecuador_2003_obesitya_IAF
51,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,PC,4125431,Ecuador_2003,Ecuador_2003_obesitya,Ecuador_2003_obesitya_PC
52,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,STATE,43133472,Ecuador_2003,Ecuador_2003_obesitya,Ecuador_2003_obesitya_STATE
53,Ecuador,2003,obesitya,Obesity prevalence among adults (%),-13.0,USAID,21095003,Ecuador_2003,Ecuador_2003_obesitya,Ecuador_2003_obesitya_USAID
54,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,AGR,717869,Ecuador_2003,Ecuador_2003_u5mr,Ecuador_2003_u5mr_AGR
55,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,DOL,2774839,Ecuador_2003,Ecuador_2003_u5mr,Ecuador_2003_u5mr_DOL
56,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,IAF,460373,Ecuador_2003,Ecuador_2003_u5mr,Ecuador_2003_u5mr_IAF
57,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,PC,4125431,Ecuador_2003,Ecuador_2003_u5mr,Ecuador_2003_u5mr_PC
58,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,STATE,43133472,Ecuador_2003,Ecuador_2003_u5mr,Ecuador_2003_u5mr_STATE
59,Ecuador,2003,u5mr,Under-five mortality rate,-2.5,USAID,21095003,Ecuador_2003,Ecuador_2003_u5mr,Ecuador_2003_u5mr_USAID
60,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,14587462,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_AGR
61,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,4038229,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_DOL
62,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1055291,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_IAF
63,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,4031498,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_PC
64,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,23708758,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_STATE
65,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,11778,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_TDA
66,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TREAS,134608,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_TREAS
67,Ecuador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,41471810,Ecuador_2004,Ecuador_2004_alcohol,Ecuador_2004_alcohol_USAID
68,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,AGR,14587462,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_AGR
69,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,DOL,4038229,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_DOL
70,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,IAF,1055291,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_IAF
71,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,PC,4031498,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_PC
72,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,STATE,23708758,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_STATE
73,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,TDA,11778,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_TDA
74,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,TREAS,134608,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_TREAS
75,Ecuador,2004,hh,Population using safely managed drinking water services (%),57.5,USAID,41471810,Ecuador_2004,Ecuador_2004_hh,Ecuador_2004_hh_USAID
76,Ecuador,2004,life,Life Expectancy,73.6,AGR,14587462,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_AGR
77,Ecuador,2004,life,Life Expectancy,73.6,DOL,4038229,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_DOL
78,Ecuador,2004,life,Life Expectancy,73.6,IAF,1055291,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_IAF
79,Ecuador,2004,life,Life Expectancy,73.6,PC,4031498,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_PC
80,Ecuador,2004,life,Life Expectancy,73.6,STATE,23708758,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_STATE
81,Ecuador,2004,life,Life Expectancy,73.6,TDA,11778,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_TDA
82,Ecuador,2004,life,Life Expectancy,73.6,TREAS,134608,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_TREAS
83,Ecuador,2004,life,Life Expectancy,73.6,USAID,41471810,Ecuador_2004,Ecuador_2004_life,Ecuador_2004_life_USAID
84,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,AGR,14587462,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_AGR
85,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,DOL,4038229,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_DOL
86,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,IAF,1055291,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_IAF
87,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,PC,4031498,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_PC
88,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,STATE,23708758,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_STATE
89,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,TDA,11778,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_TDA
90,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,TREAS,134608,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_TREAS
91,Ecuador,2004,obesitya,Obesity prevalence among adults (%),-13.5,USAID,41471810,Ecuador_2004,Ecuador_2004_obesitya,Ecuador_2004_obesitya_USAID
92,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,AGR,14587462,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_AGR
93,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,DOL,4038229,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_DOL
94,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,IAF,1055291,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_IAF
95,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,PC,4031498,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_PC
96,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,STATE,23708758,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_STATE
97,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,TDA,11778,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_TDA
98,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,TREAS,134608,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_TREAS
99,Ecuador,2004,u5mr,Under-five mortality rate,-2.4000000000000004,USAID,41471810,Ecuador_2004,Ecuador_2004_u5mr,Ecuador_2004_u5mr_USAID
100,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,4133438,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_AGR
101,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOC,78370,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_DOC
102,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,7836724,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_DOL
103,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,384091,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_IAF
104,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3306562,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_PC
105,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,20996897,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_STATE
106,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,374331,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_TDA
107,Ecuador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,25160266,Ecuador_2005,Ecuador_2005_alcohol,Ecuador_2005_alcohol_USAID
108,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,AGR,4133438,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_AGR
109,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,DOC,78370,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_DOC
110,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,DOL,7836724,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_DOL
111,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,IAF,384091,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_IAF
112,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,PC,3306562,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_PC
113,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,STATE,20996897,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_STATE
114,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,TDA,374331,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_TDA
115,Ecuador,2005,hh,Population using safely managed drinking water services (%),57.5,USAID,25160266,Ecuador_2005,Ecuador_2005_hh,Ecuador_2005_hh_USAID
116,Ecuador,2005,life,Life Expectancy,73.6,AGR,4133438,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_AGR
117,Ecuador,2005,life,Life Expectancy,73.6,DOC,78370,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_DOC
118,Ecuador,2005,life,Life Expectancy,73.6,DOL,7836724,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_DOL
119,Ecuador,2005,life,Life Expectancy,73.6,IAF,384091,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_IAF
120,Ecuador,2005,life,Life Expectancy,73.6,PC,3306562,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_PC
121,Ecuador,2005,life,Life Expectancy,73.6,STATE,20996897,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_STATE
122,Ecuador,2005,life,Life Expectancy,73.6,TDA,374331,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_TDA
123,Ecuador,2005,life,Life Expectancy,73.6,USAID,25160266,Ecuador_2005,Ecuador_2005_life,Ecuador_2005_life_USAID
124,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,AGR,4133438,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_AGR
125,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,DOC,78370,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_DOC
126,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,DOL,7836724,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_DOL
127,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,IAF,384091,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_IAF
128,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,PC,3306562,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_PC
129,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,STATE,20996897,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_STATE
130,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,TDA,374331,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_TDA
131,Ecuador,2005,obesitya,Obesity prevalence among adults (%),-14.0,USAID,25160266,Ecuador_2005,Ecuador_2005_obesitya,Ecuador_2005_obesitya_USAID
132,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,AGR,4133438,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_AGR
133,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,DOC,78370,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_DOC
134,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,DOL,7836724,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_DOL
135,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,IAF,384091,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_IAF
136,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,PC,3306562,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_PC
137,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,STATE,20996897,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_STATE
138,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,TDA,374331,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_TDA
139,Ecuador,2005,u5mr,Under-five mortality rate,-2.35,USAID,25160266,Ecuador_2005,Ecuador_2005_u5mr,Ecuador_2005_u5mr_USAID
140,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,9485059,Ecuador_2006,Ecuador_2006_alcohol,Ecuador_2006_alcohol_AGR
141,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1900147,Ecuador_2006,Ecuador_2006_alcohol,Ecuador_2006_alcohol_IAF
142,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3446561,Ecuador_2006,Ecuador_2006_alcohol,Ecuador_2006_alcohol_PC
143,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,22026035,Ecuador_2006,Ecuador_2006_alcohol,Ecuador_2006_alcohol_STATE
144,Ecuador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,19313805,Ecuador_2006,Ecuador_2006_alcohol,Ecuador_2006_alcohol_USAID
145,Ecuador,2006,hh,Population using safely managed drinking water services (%),58.5,AGR,9485059,Ecuador_2006,Ecuador_2006_hh,Ecuador_2006_hh_AGR
146,Ecuador,2006,hh,Population using safely managed drinking water services (%),58.5,IAF,1900147,Ecuador_2006,Ecuador_2006_hh,Ecuador_2006_hh_IAF
147,Ecuador,2006,hh,Population using safely managed drinking water services (%),58.5,PC,3446561,Ecuador_2006,Ecuador_2006_hh,Ecuador_2006_hh_PC
148,Ecuador,2006,hh,Population using safely managed drinking water services (%),58.5,STATE,22026035,Ecuador_2006,Ecuador_2006_hh,Ecuador_2006_hh_STATE
149,Ecuador,2006,hh,Population using safely managed drinking water services (%),58.5,USAID,19313805,Ecuador_2006,Ecuador_2006_hh,Ecuador_2006_hh_USAID
150,Ecuador,2006,life,Life Expectancy,73.7,AGR,9485059,Ecuador_2006,Ecuador_2006_life,Ecuador_2006_life_AGR
151,Ecuador,2006,life,Life Expectancy,73.7,IAF,1900147,Ecuador_2006,Ecuador_2006_life,Ecuador_2006_life_IAF
152,Ecuador,2006,life,Life Expectancy,73.7,PC,3446561,Ecuador_2006,Ecuador_2006_life,Ecuador_2006_life_PC
153,Ecuador,2006,life,Life Expectancy,73.7,STATE,22026035,Ecuador_2006,Ecuador_2006_life,Ecuador_2006_life_STATE
154,Ecuador,2006,life,Life Expectancy,73.7,USAID,19313805,Ecuador_2006,Ecuador_2006_life,Ecuador_2006_life_USAID
155,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,AGR,9485059,Ecuador_2006,Ecuador_2006_obesitya,Ecuador_2006_obesitya_AGR
156,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,IAF,1900147,Ecuador_2006,Ecuador_2006_obesitya,Ecuador_2006_obesitya_IAF
157,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,PC,3446561,Ecuador_2006,Ecuador_2006_obesitya,Ecuador_2006_obesitya_PC
158,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,STATE,22026035,Ecuador_2006,Ecuador_2006_obesitya,Ecuador_2006_obesitya_STATE
159,Ecuador,2006,obesitya,Obesity prevalence among adults (%),-14.5,USAID,19313805,Ecuador_2006,Ecuador_2006_obesitya,Ecuador_2006_obesitya_USAID
