Entity,Year,Cereals | 00001717 || Production | 005510 || tonnes
Ecuador,2002,2057298
Ecuador,2003,2055013
Ecuador,2004,2607223
Ecuador,2005,2303958
Ecuador,2006,2278620
Ecuador,2007,2726972
Ecuador,2008,2286314
Ecuador,2009,2437917
Ecuador,2010,2732020
Ecuador,2011,2487874
Ecuador,2012,2929621
Ecuador,2013,2736702
Ecuador,2014,3086964
Ecuador,2015,3565065
Ecuador,2016,2676163
Ecuador,2017,2537922
Ecuador,2018,2710163
Ecuador,2019,2617067
Ecuador,2020,2689665
El Salvador,2002,814224
El Salvador,2003,791458
El Salvador,2004,822195
El Salvador,2005,894975
El Salvador,2006,937085
El Salvador,2007,860076
El Salvador,2008,1037707
El Salvador,2009,989851
El Salvador,2010,968601
El Salvador,2011,923938
El Salvador,2012,1090739
El Salvador,2013,1043725
El Salvador,2014,1001957
El Salvador,2015,854471
El Salvador,2016,1072962
El Salvador,2017,1030124
El Salvador,2018,817563
El Salvador,2019,921410
El Salvador,2020,1019000
Ethiopia,2002,9000335
Ethiopia,2003,9532780
Ethiopia,2004,10140082
Ethiopia,2005,12749986
Ethiopia,2006,12672350
Ethiopia,2007,13252799
Ethiopia,2008,14014121
Ethiopia,2009,16457164
Ethiopia,2010,18380017
Ethiopia,2011,19269598
Ethiopia,2012,20322265
Ethiopia,2013,22338783
Ethiopia,2014,24215411
Ethiopia,2015,25837228
Ethiopia,2016,26587342
Ethiopia,2017,28763752
Ethiopia,2018,28364295
Ethiopia,2019,29672647
Ethiopia,2020,30248751
Haiti,2002,376000
Haiti,2003,381500
Haiti,2004,398000
Haiti,2005,405500
Haiti,2006,415000
Haiti,2007,520000
Haiti,2008,420000
Haiti,2009,553500
Haiti,2010,626800
Haiti,2011,616092
Haiti,2012,441594
Haiti,2013,613318
Haiti,2014,586897
Haiti,2015,503125
Haiti,2016,485572
Haiti,2017,484000
Haiti,2018,415370
Haiti,2019,389868
Haiti,2020,370000
Moldova,2002,2539059
Moldova,2003,2000680
Moldova,2004,2942574
Moldova,2005,2771711
Moldova,2006,2222357
Moldova,2007,1825348
Moldova,2008,3132303
Moldova,2009,2149173
Moldova,2010,2386009
Moldova,2011,2466400
Moldova,2012,2055650
Moldova,2013,2654337
Moldova,2014,2886891
Moldova,2015,2183323
Moldova,2016,2954175
Moldova,2017,3285836
Moldova,2018,3421119
Moldova,2019,3498682
Moldova,2020,1478349
Yemen,2002,559760
Yemen,2003,417937
Yemen,2004,490277
Yemen,2005,562230
Yemen,2006,809204
Yemen,2007,1028875
Yemen,2008,713739
Yemen,2009,674488
Yemen,2010,1012945
Yemen,2011,816555
Yemen,2012,909741
Yemen,2013,863334
Yemen,2014,699962
Yemen,2015,459246
Yemen,2016,357068
Yemen,2017,358355
Yemen,2018,344648
Yemen,2019,456714
Yemen,2020,447496
