,setting,year,indicator_abbr,indicator_name,Avg estimate,Funding Agency Acronym,Constant Dollar Amount
0,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,9241684.0
1,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,1948562.0
2,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,3948070.0
3,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,35779088.0
4,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,1638316.0
5,Ecuador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,37389886.0
6,Ecuador,2002,hh_wat_sm,Population using safely managed drinking water services (%),56.5,AGR,9241684.0
7,Ecuador,2002,hh_wat_sm,Population using safely managed drinking water services (%),56.5,IAF,1948562.0
8,Ecuador,2002,hh_wat_sm,Population using safely managed drinking water services (%),56.5,PC,3948070.0
9,Ecuador,2002,hh_wat_sm,Population using safely managed drinking water services (%),56.5,STATE,35779088.0
10,Ecuador,2002,hh_wat_sm,Population using safely managed drinking water services (%),56.5,TDA,1638316.0
11,Ecuador,2002,hh_wat_sm,Population using safely managed drinking water services (%),56.5,USAID,37389886.0
12,Ecuador,2002,life_ex,Life Expectancy,73.9,AGR,9241684.0
13,Ecuador,2002,life_ex,Life Expectancy,73.9,IAF,1948562.0
14,Ecuador,2002,life_ex,Life Expectancy,73.9,PC,3948070.0
15,Ecuador,2002,life_ex,Life Expectancy,73.9,STATE,35779088.0
16,Ecuador,2002,life_ex,Life Expectancy,73.9,TDA,1638316.0
17,Ecuador,2002,life_ex,Life Expectancy,73.9,USAID,37389886.0
18,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,AGR,9241684.0
19,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,IAF,1948562.0
20,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,PC,3948070.0
21,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,STATE,35779088.0
22,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,TDA,1638316.0
23,Ecuador,2002,obesitya,Obesity prevalence among adults (%),-13.0,USAID,37389886.0
24,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,AGR,9241684.0
25,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,IAF,1948562.0
26,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,PC,3948070.0
27,Ecuador,2002,u5mr,Under-five mortality rate,-2.65,STATE,35779088.0
